Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Demanda_uni_equil
9,2234,1,1238,1435513,1182,5
4,1383,4,6606,1983474,35452,21
5,1631,1,1040,32389,1145,5
6,2216,1,1157,8004681,42110,36
6,2653,1,1026,212890,3631,0
3,22362,1,1062,3025640,1109,4
6,1334,1,1104,376823,1240,5
9,1222,1,1202,4200316,1284,5
9,2263,1,1225,4561840,6469,10
7,1344,1,2814,2098553,43316,2
3,1633,1,2827,4710751,35107,3
8,22362,1,2114,1524976,32940,2
7,4049,1,1271,2114358,43204,4
8,1542,1,1254,4208875,1232,1
4,1112,1,1605,331267,35141,1
5,1461,1,1103,2126266,43169,1
9,1463,1,1132,1198641,43251,2
4,1130,1,1619,4297635,35141,1
7,1469,11,3907,2484503,47948,25
7,1585,4,6617,850312,43209,3
7,1387,1,1113,1698847,2425,30
6,1117,1,1611,358969,30871,20
6,1334,1,1215,4336987,1238,2
5,2073,4,6621,1411769,34053,35
7,1172,4,6606,2411279,3894,14
6,2073,4,6637,4476032,1687,2
4,4040,1,2169,234483,30575,13
3,2014,1,1229,355871,1240,10
6,4037,1,1229,4321008,32311,7
7,1347,1,2857,4536085,31471,1
6,1911,1,1078,1221177,1109,4
3,1212,1,1416,174540,35651,5
5,2653,1,2017,212651,43274,4
7,2015,1,1110,1387667,1284,20
4,2013,1,1020,14176,1109,4
4,1620,1,1123,2412602,41938,7
7,1222,1,1434,4344676,1232,2
8,1124,1,1109,1160726,1250,9
7,1419,1,1190,177196,43200,5
5,2235,1,4901,2039838,1240,2
4,1387,1,1005,1206778,1160,4
3,1632,1,1202,2279656,1212,1
5,1279,7,3324,4400610,5310,10
4,1314,7,3363,2085264,31310,2
6,24539,1,1203,1147394,43206,5
3,1585,4,6609,2313642,37057,24
8,1123,1,1457,4640326,1240,4
6,3223,7,3346,2133375,1238,11
4,1311,1,2020,91806,43285,1
4,1420,1,1023,716447,34292,3
4,2614,11,3910,52199,43069,2
9,1955,1,1108,1058577,1216,3
3,2014,1,1212,4465699,1242,1
3,1622,1,2857,1964999,30532,4
7,1261,4,6609,37743,31511,5
5,1471,1,1612,1255998,45111,6
3,2034,1,1136,522686,2425,17
9,1210,5,3004,653039,32204,137
5,2029,1,2022,4226839,43147,8
8,1439,1,2816,4702481,30532,4
5,2218,1,2112,168569,31719,3
3,2276,1,1110,654150,48421,5
6,1239,1,1229,737085,2233,1
6,1378,1,2002,1809971,43274,5
7,4037,1,1175,239713,43206,15
7,3215,1,2839,4730418,31580,1
5,2237,1,2847,8171128,30531,6
7,1936,1,2017,4067785,43285,4
5,2032,1,1270,237265,1284,10
5,1120,1,1460,1253485,1240,2
7,1626,1,4534,4651922,5000,3
5,1533,1,2052,2416573,43064,1
6,1427,1,1112,1055566,36711,12
8,1954,1,2120,2471676,35305,15
9,1126,1,1217,4229639,1146,1
3,1936,1,1228,1323312,1284,4
9,2032,1,2852,4126571,31471,1
7,1556,1,5033,971505,34226,2
7,4051,1,4502,4708988,30575,5
9,1112,1,1603,331304,4245,2
8,1338,1,2003,2024737,43064,2
6,4049,1,2836,108113,43033,2
8,3217,1,1108,110201,1278,20
4,1137,1,1458,226391,36773,1
8,1227,1,1268,8131922,1242,2
4,22560,1,1177,4535761,1309,6
5,2044,1,2826,515852,30572,6
7,1215,1,1411,197884,1309,4
8,1312,1,1003,4255262,1125,25
5,1123,1,1616,4256651,9217,4
9,1476,4,4904,1116767,43202,12
4,2020,1,2802,254951,40680,7
4,1618,1,2119,153182,30532,12
7,1119,1,1075,57633,48077,4
4,1310,1,2002,100923,43147,8
7,2060,1,1218,1645695,1240,4
3,1602,1,1209,467425,1232,1
5,3219,1,1650,428019,31298,2
8,1618,1,1254,2197532,1125,1
9,1451,1,1259,4283161,34213,1
5,2250,2,1525,1231416,43039,210
5,4040,1,4466,231701,43147,5
6,1236,1,1207,4711892,1146,4
9,2239,1,2820,4695616,44495,2
5,4040,1,5503,234090,45496,2
5,1579,2,1553,38592,34212,33
4,1224,1,1613,2204094,47124,1
3,2036,1,1243,4630835,2425,16
9,2653,1,1238,1060198,47840,1
3,1936,1,2015,2175789,43069,8
5,2214,1,1104,433263,35727,3
4,1153,1,4426,543462,35119,4
7,1955,1,1226,1244821,1134,2
4,24049,1,2801,836217,31511,1
8,22187,1,1053,2346203,2233,50
6,1167,2,7471,1896260,31198,56
5,1350,1,1222,450664,1232,1
8,1936,1,1161,212031,41938,8
3,1585,4,6628,1593807,36536,10
8,1245,1,2810,94202,35305,2
5,2017,1,1297,1177934,4767,0
9,2034,1,2881,1719734,40930,2
8,1245,1,1013,83543,2665,5
4,1112,1,1408,1707001,1212,1
7,1315,1,1165,1161490,1284,49
5,22362,1,1151,1833569,1250,8
6,1544,1,2804,4537983,36610,40
5,1126,1,1424,593367,48417,5
3,1219,1,2109,1169829,43033,2
9,1911,1,1277,1581407,1182,4
4,1351,1,1290,498668,2425,47
4,1698,1,1104,170671,1240,7
4,1332,1,8001,4668444,1284,3
6,1332,1,1001,261404,3631,4
9,1912,1,2024,1192550,43000,4
4,1971,1,1103,823835,36739,1
4,1472,4,4903,120406,44371,10
3,1557,4,6612,22917,32353,15
7,1245,1,1021,83239,1125,2
8,2060,1,1216,2255491,1160,1
6,2019,1,1223,4193993,1109,1
5,2017,1,1291,5886024,1284,8
8,2213,1,2833,4635519,43215,2
4,22090,1,1102,532503,3270,3
4,1456,4,4902,972210,43178,2
9,3211,1,1007,399587,35727,2
6,1620,1,1244,2297270,34868,5
3,24049,1,1203,1355829,1240,3
3,1236,1,1214,1936509,47840,1
7,1121,1,1415,376028,1250,8
8,1532,1,4504,4593236,1238,2
4,1914,1,2157,382537,36324,3
3,4037,1,2003,82180,37058,1
6,1954,1,1215,570951,31423,6
4,2030,1,2159,210591,30572,5
6,1242,1,1117,2350008,1284,10
7,1550,1,2105,2050749,31511,4
7,3215,1,2158,58996,37361,5
3,1347,1,1051,165847,1150,2
7,1130,1,1428,4559737,1240,3
3,1153,1,1010,328196,1129,6
3,1475,4,4011,1936492,43186,7
5,1633,1,1203,4371893,1309,2
6,2213,1,1223,2262381,1309,1
9,1963,1,1225,7888377,1284,6
7,1221,1,2114,1255474,30532,2
8,2030,1,1072,205809,2233,33
9,2015,1,1275,2079368,2233,0
6,1617,1,1611,1149625,31298,3
3,1629,1,1251,267300,1238,0
3,1130,1,2810,336753,36748,3
9,1153,1,1030,557297,1182,9
3,2030,1,2156,207703,32937,1
5,1911,1,1071,1110773,1109,1
4,2214,1,1205,2452516,35651,1
6,1612,1,1139,489208,41938,2
9,1330,1,2859,1714221,30552,3
3,1459,1,1114,1456136,34089,24
6,22090,1,1108,678437,48419,2
7,1381,4,6601,1881832,31466,10
5,22090,1,1213,470360,4767,1
6,1459,1,1210,351349,43209,1
8,1453,1,1103,4598876,41843,9
5,1698,1,1222,2297278,1278,4
9,1127,1,1023,350344,1109,2
9,3226,4,6616,2385922,1150,27
4,1461,1,4501,2497548,30569,4
8,1954,1,4526,911861,36598,3
9,1153,1,1612,4547455,45143,40
5,1968,4,4901,1956501,46128,12
5,1126,1,1433,352425,1240,2
5,2071,1,1160,2423643,35651,2
9,2653,1,2126,406212,36298,1
9,1123,1,1056,167855,1146,3
7,3212,1,1416,2024998,972,1
4,2044,1,4410,257311,43285,15
7,1117,1,1613,420103,33734,8
5,1631,1,1241,7752522,1278,30
8,1152,4,6610,23430,35455,10
3,4051,1,2105,27271,43058,4
9,1955,1,2851,8400416,37427,3
7,2653,1,1041,215007,31392,2
8,1332,1,2051,265124,43274,6
6,1112,1,1005,322183,3631,4
3,2214,1,1220,303221,1278,8
3,1332,1,1208,2456526,1284,10
6,1471,1,1207,4484830,43200,4
8,1116,1,2135,1849977,37361,9
6,2019,1,2808,1124798,37058,2
5,1550,1,2004,4387612,35455,2
9,22560,1,1221,4402643,1687,1
9,1140,1,1625,1254350,303,3
7,4037,1,1163,2047714,43196,1
8,1130,1,1620,2412044,323,0
3,1123,1,1414,965860,1220,6
9,4040,1,1015,231947,35571,1
6,2045,1,1253,1860873,1212,2
9,1130,1,1405,1979929,1240,7
3,3216,1,1654,1228824,4259,3
6,2057,1,1151,3789770,35651,13
8,2013,1,2804,5928,30532,3
6,1310,1,2009,98329,43066,3
6,1122,1,1465,606485,1242,6
6,1331,1,1012,2221457,3631,2
7,1339,1,1006,1033000,1150,468
8,2057,1,1271,905774,1146,2
4,1120,1,1051,636417,46772,15
5,3212,1,1423,260238,1240,2
9,1471,1,1612,1912876,37581,1
6,1631,1,4502,4704639,2233,1
7,1113,1,1410,49248,1284,13
7,1224,1,2156,610274,37361,12
7,2063,11,3908,1868691,1700,2
3,2038,1,1014,945510,73,5
6,1470,1,1144,2058806,43207,35
9,2211,1,1121,732351,1278,13
4,1441,1,1136,234116,43118,3
9,1347,1,1256,4475978,1125,2
9,1310,1,2108,95993,43058,3
4,1217,1,2114,1251446,30532,10
3,1591,4,6641,999673,31506,20
7,2032,1,1165,240203,1232,3
3,1227,1,1116,8475,35651,13
8,1911,1,2058,4407463,45111,3
3,1477,4,7053,1086482,43121,15
8,2015,1,1013,138418,32322,10
4,1657,4,6649,4364273,1232,12
7,1415,1,1611,4623384,45111,1
9,1936,1,1223,4227196,1109,1
3,1914,1,2059,564688,43069,15
8,2214,1,4402,306508,37057,6
3,1423,1,2119,6165325,30572,15
6,1597,4,6658,1067466,32408,2
3,1216,1,2121,768131,43033,13
8,1955,1,5001,575834,37569,1
3,1625,1,1053,2093749,1125,3
3,1618,1,1132,500674,1309,2
6,1111,1,2110,74746,35841,5
5,1544,1,1117,1248119,1242,13
6,1628,1,1269,86190,48417,2
5,2020,1,1004,274901,40447,17
4,1463,1,1260,131633,43207,12
7,1618,1,1134,153147,1242,3
8,1121,1,1610,707416,35452,25
5,1121,1,4406,166469,48893,6
9,1279,7,3306,4403755,47611,15
8,1312,1,1002,3024868,1109,4
9,1279,7,3904,2409368,47336,10
3,2218,1,1005,1216149,1125,5
4,2016,1,1173,3421785,35651,1
8,1111,1,1420,62455,1250,12
5,2216,1,1249,312613,3270,4
5,2031,1,4407,2113957,31512,2
4,1344,1,1201,2438598,1232,1
8,1611,1,1005,1894106,1125,12
7,1121,1,1015,383812,1109,4
8,2032,1,1159,236235,1216,1
3,25759,1,5513,4518246,4259,2
3,1914,1,2165,4575432,36576,12
9,4051,1,1209,748924,32323,2
8,1462,1,1219,125313,43058,4
8,2023,1,2842,1329119,35309,10
5,1427,1,2805,4442170,31507,4
6,1556,1,1115,2009625,34938,3
7,1955,1,4130,571091,30813,1
3,1419,1,2115,1203265,31310,2
4,1945,1,4161,267336,31590,2
6,2629,1,1262,7858993,1240,1
3,2021,1,1218,4289604,1182,10
5,4037,1,1169,1812337,43169,1
7,1530,1,1104,656976,1240,3
3,1459,1,1020,146993,34213,59
6,1493,4,4801,599864,49028,3
9,2018,1,1603,290332,33734,9
5,2054,1,1250,1634044,9217,2
9,1459,1,1113,1799679,43201,1
8,1332,1,1008,261998,2233,7
6,1912,1,1132,2201085,1232,0
3,1351,1,1055,1192055,1109,3
8,1315,1,2852,1033164,43064,4
6,1545,1,2805,520137,43274,2
4,1220,1,1427,2053846,1309,6
3,2215,1,2801,600953,30574,0
7,2018,1,1231,4396146,1278,193
5,1312,1,2071,964449,36610,40
5,1117,1,1605,59242,328,0
3,1130,1,1412,892196,1284,26
6,2043,1,5023,244570,72,0
6,2237,1,4108,535629,40217,3
5,1245,1,1246,4675177,1242,1
7,1137,1,1055,216102,2233,1
3,2031,1,2811,229732,31512,1
3,1220,1,1216,316873,41938,1
6,1350,1,1126,1967574,2425,44
5,1351,1,2844,2365466,43274,3
9,1120,1,1052,371098,2665,3
5,1622,1,1269,1698105,41938,2
8,2072,1,4457,4496755,43285,8
7,1216,1,1623,1320925,31031,5
4,1955,1,2113,572425,30575,5
4,1124,1,1085,184106,1146,5
6,3212,1,1024,216509,2665,11
4,4051,1,4509,4640706,31507,3
3,2628,4,6603,1370447,1120,7
4,22090,1,1006,4353068,1146,1
6,2235,1,1203,600519,34868,5
4,1541,1,1206,4326881,45143,40
6,1463,1,1141,427505,43203,8
5,1611,1,1268,196579,1687,1
3,1224,1,2168,72332,30532,6
5,2211,1,1143,1118285,1220,1
9,4046,1,2128,486757,30549,3
5,2215,1,1203,303018,1129,1
9,3213,1,1431,1932200,1212,1
8,1912,1,1021,1661136,3631,2
9,2020,1,1254,274716,35651,4
5,1473,4,4904,119578,43251,4
8,1116,1,1614,115391,35141,1
4,1117,1,1456,356757,3270,1
7,2013,1,1217,1690028,1309,2
9,1698,1,6513,2344789,36960,1
9,1129,2,3,22726,31498,105
3,1333,1,2852,4161633,43069,10
5,25759,1,2123,162098,31470,4
4,2017,1,1167,1356715,1064,2
9,2017,1,2806,398743,36745,2
6,1420,1,1206,13622,43200,2
9,1150,4,6615,2050088,1240,11
8,1698,1,1223,168195,48421,4
8,2030,1,1172,2044292,1216,8
8,1120,1,1466,368696,1242,2
6,2013,1,1214,1712126,1109,2
3,2230,1,1230,1980513,41938,1
6,1119,1,1083,58810,1109,4
8,1312,1,2163,300100,43058,3
7,1126,1,1404,4214226,1278,5
3,2021,1,1160,186354,1242,1
9,1366,1,1254,4241945,1284,12
6,1147,4,6607,1286732,1220,6
7,1954,1,1015,1235092,1150,5
8,1346,1,1252,4532584,43202,1
5,1239,1,1227,184829,2665,1
8,1111,1,1101,50335,31423,5
9,4040,1,5505,1256037,43039,0
6,1470,1,2124,517453,32940,1
4,2072,1,2852,2215524,43285,8
4,1549,1,2032,6847640,37057,8
6,1470,1,1143,1671680,48579,1
5,1629,1,1254,86016,1109,1
3,1628,1,1036,84850,1146,3
5,1658,4,6626,1885308,972,2
4,1964,1,2102,9482512,43033,10
8,2233,1,6503,317857,31719,4
7,1633,1,1118,651943,1238,1
6,2055,1,1073,485851,46772,8
8,2055,1,2085,486041,303,2
5,2218,1,1101,1871808,48417,7
4,1616,1,1048,151416,1109,84
7,1963,1,2007,616488,43064,2
7,1470,1,1143,404323,43169,2
4,2016,1,1307,1224439,1242,1
8,1967,1,1215,2046073,46128,1
3,4051,1,2003,122810,43067,2
4,1112,1,1423,4377943,35651,2
3,1912,1,5051,62727,43038,1
4,1636,1,4503,1780826,43203,2
6,4011,11,3923,1093955,30532,161
4,2211,1,1243,132708,1242,1
6,1126,1,1445,2087041,1242,11
5,4010,1,1189,182020,36711,12
5,23719,1,2102,4662738,43033,2
7,1130,1,2813,2032559,30532,6
3,2022,1,2153,887540,31310,8
7,1117,1,1481,351043,32819,1
6,1337,1,2117,373658,43058,1
6,1470,1,1288,715960,43251,1
4,1120,1,1604,4437933,35141,1
6,1338,4,6602,4071036,1120,4
9,2031,1,1150,861490,48419,0
7,1382,4,6609,20013,5380,50
8,1338,1,2107,1390787,34056,2
4,4037,1,2007,1110521,43316,1
3,1445,1,1225,4231127,34938,2
5,1310,1,2106,98548,43058,2
6,22362,1,1053,829381,2665,6
6,1463,1,2847,2099710,31310,5
7,23669,1,900,4657909,48417,18
5,1227,1,4439,8365,43147,3
6,1311,1,2812,1942951,30555,5
8,1374,4,6610,2353493,5350,3
7,1628,1,2157,266726,35309,10
6,24669,1,2011,1448632,43316,1
5,1615,1,2103,318712,43058,4
8,1911,1,1136,331787,1284,5
9,1942,11,3948,2380207,43069,4
8,1137,1,1456,472243,3270,2
7,1127,1,1004,426587,1129,2
8,1637,1,1116,330002,48419,0
6,1344,1,1223,2261814,2233,1
5,23669,1,2833,1856760,31298,1
8,1236,1,2801,686160,30532,13
8,1420,1,1126,12806,43198,4
6,1245,1,1116,935158,1240,1
8,1126,1,1043,1268038,1125,3
6,1224,1,1620,1605967,9217,3
3,1330,1,2854,1592222,43274,2
5,1238,1,1227,1524908,47840,1
6,2629,1,1155,241548,35651,4
3,1430,11,3902,1506484,40297,9
7,1215,1,1423,4521813,1309,3
5,1955,1,4134,729478,43274,1
7,1112,1,4408,327899,40886,4
8,1120,1,1477,171250,1064,3
5,4049,1,2830,521404,43307,4
5,2037,1,1108,4463321,1240,3
9,1382,4,6613,2180277,2025,16
6,1614,1,1118,284799,1309,4
5,1127,1,4448,691151,32864,1
3,2030,1,1072,205809,1146,29
3,1628,1,1270,2260069,41938,2
4,1126,1,1217,4216496,1240,15
3,1427,1,2803,2136814,30549,6
9,1111,1,2107,2482280,37361,7
5,2015,1,2837,1748423,30572,6
4,24669,1,1201,185498,43200,6
3,2211,1,1213,501080,1230,2
7,2036,1,1121,1415875,1250,2
9,1471,1,1122,957767,43203,2
9,1944,11,3905,4433434,1150,1
3,3211,1,1016,4477614,46772,4
5,1635,1,2857,4600140,43058,2
3,1462,1,1217,862328,43246,1
6,2054,1,1254,4244916,41938,2
6,1936,1,2014,1281342,43147,2
4,1427,1,1102,452560,43207,5
8,4017,4,4704,124192,43058,10
3,1111,1,1404,49525,1238,1
7,2018,1,1204,2130914,1250,5
6,2019,1,1603,1681067,40217,29
6,1550,1,1114,739951,31423,1
4,1215,1,4403,203788,43215,1
9,1342,1,2003,384894,36610,40
9,1963,1,1209,616609,4910,5
3,1459,1,1112,144958,41843,4
8,1936,1,2153,1224437,36304,2
8,1462,1,1203,125458,43200,2
8,2029,1,1024,4592538,1146,3
9,2235,1,5005,1189720,40886,2
7,1550,1,2102,1427764,30574,5
7,2057,1,4454,190298,43316,1
8,1227,1,1235,12556,1182,1
6,2036,1,1246,2037492,2425,7
3,1964,1,4102,7687514,43064,2
8,1236,1,1031,1505760,3631,5
7,1315,1,2053,1108533,43285,14
8,4049,1,1261,4482327,34255,1
4,1441,1,4455,7908805,43068,8
7,2044,1,4410,249683,32302,3
9,3213,1,2802,4562604,37361,4
9,1330,1,2851,1181727,35309,5
4,2237,1,4504,779074,36964,6
5,2220,1,1124,1650833,1240,11
6,1177,4,6604,2408866,34053,20
4,1219,1,2106,4527173,30532,5
9,1556,1,1102,155919,36278,11
8,1350,1,1226,389705,1232,3
5,1120,1,1069,17102,1125,6
4,1625,1,2162,8289355,30572,20
7,1550,1,2108,431519,30531,6
8,2233,1,1212,4568104,1242,1
6,1456,4,6952,4582111,31514,8
6,1914,1,1112,4396358,1064,1
4,1351,1,2036,119903,37058,14
8,4040,1,1005,2324286,46876,1
7,1153,1,2805,4709398,37361,4
7,1338,1,2004,2118169,43316,2
7,2065,11,3907,1955442,1240,10
4,1243,1,5010,66087,32303,4
6,2220,1,2122,657353,32933,3
7,2233,1,2102,317833,31513,5
9,2057,1,1050,135827,1125,12
4,2237,1,1107,899924,1240,1
3,1339,1,1205,442988,1109,1
6,1945,1,1254,270131,2425,5
9,1602,1,1209,4556278,1212,4
6,1332,1,2053,8097087,36639,0
8,2045,1,1057,507752,2233,15
3,1631,1,1246,1915309,1125,2
9,1544,1,1112,523904,1284,52
3,1333,1,1026,2034235,6469,1
4,3214,1,4457,556301,43274,1
6,1118,1,1415,545715,1250,5
7,1463,1,1250,461483,43206,29
3,2276,1,1011,723432,1160,28
3,1698,1,1222,169871,1242,2
4,3214,1,4459,2104345,43069,14
3,2013,1,1105,2465510,1242,6
8,1368,4,6604,2285647,31513,5
3,1111,1,2102,20737,36746,1
9,2023,1,1208,2396187,1284,4
9,1936,1,1163,4568980,1220,2
4,2031,1,2804,831766,43064,2
7,23899,1,1245,9532672,31423,2
6,2214,1,1221,2052522,2233,3
3,1219,1,1020,327159,1125,5
8,1212,1,1036,2285934,1109,1
5,1415,1,1233,1121231,43202,1
4,1127,1,4450,1216031,34226,3
9,1550,1,1204,1209286,1242,2
7,23899,1,1241,7770276,42434,3
8,1623,1,2034,2290539,43307,14
4,1697,1,1263,282978,1240,1
4,1119,1,1472,687673,1242,8
8,2014,1,1105,390542,1240,10
9,1340,1,1151,255711,1309,2
3,2043,1,2105,663232,31507,10
9,2036,1,2830,510359,35309,1
3,1140,1,1412,1351519,972,2
7,1616,1,1224,1690313,35651,0
7,2215,1,1001,307424,4910,3
9,1227,1,1117,4690153,1242,3
3,1245,1,1228,343733,1284,5
5,2214,1,2104,1832580,30571,9
6,2275,4,6623,4700237,1232,18
3,1423,1,1228,2351247,34206,1
4,2229,1,1016,4251420,2233,9
9,1116,1,1160,1042524,1212,1
4,1138,1,1606,2229537,30415,2
4,1611,1,1262,194453,46772,3
9,1613,1,1256,1579426,1240,1
7,1114,2,95,2157905,31763,52
5,1530,1,5501,716495,30415,5
8,2013,1,1111,884321,1064,6
8,1637,1,1013,1044276,1125,3
9,2034,1,1055,7690881,1125,8
7,1637,1,1113,332583,1278,41
9,2270,6,3206,2272243,31506,10
8,1117,1,1477,802526,1250,1
8,1463,1,2835,8122158,43316,1
3,2015,1,1274,2004865,1230,1
5,1315,1,1057,96580,3631,4
7,1116,1,1619,2123427,30214,3
9,1350,1,1225,1984292,5707,1
4,1220,1,1603,1688794,35147,1
8,1349,1,1132,1294635,1238,4
4,1533,1,2152,552588,43058,5
8,1423,1,2012,220169,31514,1
8,2043,1,2103,236421,30569,10
9,1911,1,2054,106673,35484,4
4,1351,1,1152,1354404,1212,2
8,2230,1,1205,4454939,1146,1
5,22090,1,1205,337020,972,1
9,1123,1,1407,206043,1212,1
7,1227,1,1255,5157,1150,1
3,2230,1,2855,7810667,31582,2
4,2037,1,1211,143385,2425,60
8,25759,1,5514,4391441,34225,1
3,1127,1,1409,567065,31423,4
4,2016,1,2831,874657,31310,4
6,2071,1,1202,768626,48417,1
3,1963,1,1220,1465131,1109,1
9,1242,1,2102,1838829,30532,4
4,2241,1,4105,672515,37057,6
9,1124,1,1015,1281307,4910,26
3,1236,1,1123,1505787,1240,2
5,2030,1,5003,948196,4280,6
3,1238,1,1107,1892240,1220,1
7,1535,1,1206,589576,34054,11
9,2238,1,2907,865434,32939,1
5,22187,1,2856,502279,31507,2
6,1622,1,1257,224820,1238,1
9,4037,1,1070,1675449,34206,1
4,1636,1,1001,289831,3144,2
4,2020,1,1236,1309040,1220,3
4,1332,1,2055,261926,32303,2
6,1387,1,1205,2350518,2425,6
5,3214,1,1612,4301187,45143,40
8,1338,1,2001,4647632,43064,3
3,3221,1,1614,1255468,357,12
7,1219,1,2112,347940,31588,1
8,1611,1,1108,2291515,1230,5
7,2214,1,1201,1418938,1216,4
8,2017,1,1288,1540027,46772,6
4,1445,1,1146,127444,43251,2
5,1120,1,1071,389341,1109,6
9,1629,1,1620,87394,4270,1
7,2217,1,4103,657766,32936,2
5,1350,1,1232,4333980,1284,6
7,3215,1,2133,351080,32934,1
8,1351,1,1281,4717354,35651,5
5,1914,1,1118,2304529,1212,2
9,1111,1,2125,39581,35305,5
8,1912,1,1112,4283062,1284,7
5,2016,1,1320,4412155,1150,3
8,1143,6,3211,987783,5310,15
4,23899,1,5005,4478615,4245,9
5,2015,1,1218,1611218,35651,1
6,2024,1,4413,104445,37058,3
6,1629,1,1103,2171119,1309,4
8,2237,1,1011,1604875,4910,24
9,2017,1,2801,131001,36610,40
4,1952,1,2831,1024368,43064,2
9,3213,1,1022,76958,1146,2
5,2012,1,2806,4251958,37058,2
5,1153,1,1217,541430,1309,1
8,1238,1,1005,3144313,1109,2
4,1544,1,1016,40194,1146,5
5,1462,1,2101,1349615,33872,1
7,1945,1,1262,594934,1250,2
7,3217,1,1107,111923,1278,19
9,2016,1,1163,448019,1250,5
5,1118,1,1442,4471540,1272,1
7,4011,11,3919,1998504,48134,12
6,1612,1,1131,2385897,1220,8
6,1912,1,2101,359396,32940,3
3,2013,1,1117,7711717,1220,5
7,1955,1,4520,8044388,43064,2
6,1956,1,2103,4581461,43033,40
8,2234,1,1133,494536,1309,2
5,2265,6,3203,1051258,30531,40
7,1219,1,1133,4302998,1687,1
